"file_path","phase","purpose","called_by_main","called_by_other_file","status","notes"
"config\sim_config.m","configuration","Configuration for LTE RF, traffic KPI, and calibration phases.","1","1","active_config","Loaded by main.m."
"config\sim_config_single_site.m","configuration","Configuration for Phase 1A single-site LTE RF validation.","0","0","legacy_or_unused","Single-site legacy/support path; not used by current 7-site main workflow."
"main.m","main_entrypoint","% AI/ML-assisted LTE RAN simulation - Phase 8B (counterfactual evaluation)","1","1","entrypoint","Primary script run by audit."
"src\actions\action_cells_to_table.m","Phase 8 actions/oracle","Convert preallocated action cell rows to typed table.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\compute_counterfactual_reward.m","Phase 8 actions/oracle","Normalized Phase 8B proxy reward.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\empty_action_table.m","Phase 8 actions/oracle","Shared schema for Phase 8A candidate actions.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\evaluate_counterfactual_action.m","Phase 8 actions/oracle","Deterministic Phase 8B KPI proxy evaluator.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\find_neighbor_sectors.m","Phase 8 actions/oracle","Rank sectors using RF evidence and geometry.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\generate_candidate_actions.m","Phase 8 actions/oracle","Combine module-specific candidate action rows.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\generate_coc_candidates.m","Phase 8 actions/oracle","Candidate COC/OH compensation actions only.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\generate_es_candidates.m","Phase 8 actions/oracle","Candidate ES keep/sleep/wake actions only.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\generate_lb_candidates.m","Phase 8 actions/oracle","Candidate LB/MLB CIO-bias actions only.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\generate_mro_candidates.m","Phase 8 actions/oracle","Candidate HO/MRO parameter actions only.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\make_action_cell.m","Phase 8 actions/oracle","Construct one candidate action as a cell row.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\make_action_row.m","Phase 8 actions/oracle","Construct one Phase 8A candidate action row.","0","0","appears_unused",""
"src\actions\run_phase8a_candidate_action_generation.m","Phase 8 actions/oracle","Generate unevaluated action tables.","1","1","used_by_main","Directly referenced by main.m."
"src\actions\run_phase8b_counterfactual_evaluation.m","Phase 8 actions/oracle","Evaluate Phase 8A candidates offline.","1","1","used_by_main","Directly referenced by main.m."
"src\actions\run_phase8c_safety_constrained_oracle.m","Phase 8 actions/oracle","Upper-bound oracle over Phase 8B.","1","1","used_by_main","Directly referenced by main.m."
"src\actions\safety_check_action.m","Phase 8 actions/oracle","Deterministic Phase 8B safety-flag stub.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\top_neighbors_for_sector.m","Phase 8 actions/oracle","Return top-N neighbor sector IDs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\actions\validate_candidate_action_table.m","Phase 8 actions/oracle","Normalize candidate action table types.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\apply_cio_bias_to_association.m","Phase 12 KPI(t+1)","Compute physical + biased best-server.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\apply_eligible_actions_to_cloned_state.m","Phase 12 KPI(t+1)","Apply a group's eligible actions to a clone.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\apply_single_action_to_cloned_state.m","Phase 12 KPI(t+1)","Dry-run application on a cloned topology.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\audit_action_implementability.m","Phase 12 KPI(t+1)","Per-row implementability of executable actions.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\audit_phase12b_action_state_support.m","Phase 12 KPI(t+1)","Post-Phase-12B parameter mapping.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\build_phase12c_kpi_update_eligible_actions.m","Phase 12 KPI(t+1)","Filter Phase 11B execs after Phase 12B extension.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\compare_pre_post_kpis.m","Phase 12 KPI(t+1)","Compute group-level delta KPIs from pre and post state structs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\initialize_action_state_columns.m","Phase 12 KPI(t+1)","Add Phase 12B action-state columns.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\map_action_to_simulator_state.m","Phase 12 KPI(t+1)","Static parameter-to-state lookup table.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\recompute_kpis_after_action.m","Phase 12 KPI(t+1)","One-step RF + KPI chain, CIO-aware.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\replay_phase4_realization_on_topology.m","Phase 12 KPI(t+1)","Reproduce one Phase 4 realization on a topology.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\run_phase12a_action_application_feasibility.m","Phase 12 KPI(t+1)","Dry-run feasibility audit.","1","1","used_by_main","Directly referenced by main.m."
"src\application\run_phase12b_simulator_action_state_extension.m","Phase 12 KPI(t+1)","Add minimum action-state support.","1","1","used_by_main","Directly referenced by main.m."
"src\application\run_phase12c_post_extension_feasibility_refresh.m","Phase 12 KPI(t+1)","Build KPI(t+1)-eligible action set.","1","1","used_by_main","Directly referenced by main.m."
"src\application\run_phase12d_one_step_kpi_update.m","Phase 12 KPI(t+1)","One-step KPI(t)->KPI(t+1) for eligible actions.","1","1","used_by_main","Directly referenced by main.m."
"src\application\summarize_phase12a_feasibility.m","Phase 12 KPI(t+1)","Implementability tallies by module and action type.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\summarize_phase12c_eligible_actions.m","Phase 12 KPI(t+1)","Per-module and per-action-type tallies.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\application\summarize_phase12d_kpi_update.m","Phase 12 KPI(t+1)","Per-module and per-scenario mean delta KPIs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\coordination\build_final_coordinator_decisions.m","Phase 11 coordinator","Assemble the Phase 11B decision table.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\coordination\classify_final_action_status.m","Phase 11 coordinator","Map Phase 11A flags to Phase 11B status.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\coordination\detect_action_conflicts.m","Phase 11 coordinator","Offline diagnostic conflict scan over Phase 11A inputs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\coordination\prepare_phase11a_coordinator_inputs.m","Phase 11 coordinator","Annotate Phase 10A picks with coordinator metadata.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\coordination\resolve_action_conflicts.m","Phase 11 coordinator","Apply priority + safety rules to Phase 11A inputs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\coordination\run_phase11a_decision_coordinator_preparation.m","Phase 11 coordinator","Offline coordinator prep + conflict diagnostics.","1","1","used_by_main","Directly referenced by main.m."
"src\coordination\run_phase11b_final_coordinator_selection.m","Phase 11 coordinator","Final coordinator decision table.","1","1","used_by_main","Directly referenced by main.m."
"src\coordination\summarize_phase11a_coordination.m","Phase 11 coordinator","Per-module and per-scenario summaries.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\coordination\summarize_phase11b_final_decisions.m","Phase 11 coordinator","Per-module and per-scenario tallies.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\audit_action_value_leakage.m","Phase 9 action-value ML","Verify Phase 9A datasets are leakage-controlled.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\audit_feature_leakage.m","Phase 4/4B datasets","Check Phase 4B prepared tables for forbidden inputs.","1","1","used_by_main","Directly referenced by main.m."
"src\dataset\build_network_state_table.m","support","Build one Phase 4 network-state row.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\build_phase7_sector_tp_qp_feature_table.m","Phase 4/4B datasets","Build sector-level lag features.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\build_phase7_tp_qp_feature_table.m","Phase 4/4B datasets","Add lag inputs and future targets.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\build_sector_state_table.m","support","Add Phase 4 scenario labels to sector KPI rows.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\define_action_value_feature_sets.m","Phase 4/4B datasets","Declare Phase 9A roles for each column.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\define_feature_sets.m","Phase 4/4B datasets","Declare Phase 4B metadata, input, and target columns.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\generate_cod_focused_dataset.m","Phase 6 COD","Generate impaired-sector rows for COD balancing.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\generate_phase4_dataset.m","Phase 4/4B datasets","Generate multi-scenario KPI datasets.","1","1","used_by_main","Directly referenced by main.m."
"src\dataset\generate_phase7_temporal_dataset.m","Phase 7 TP/QP","Build time-indexed TP/QP datasets.","1","1","used_by_main","Directly referenced by main.m."
"src\dataset\get_phase4_scenario_plan.m","Phase 4/4B datasets","Build deterministic Phase 4 scenario realization plan.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\prepare_cod_balanced_dataset.m","Phase 6 COD","Build leakage-controlled balanced COD dataset.","1","1","used_by_main","Directly referenced by main.m."
"src\dataset\prepare_phase4_ml_feature_tables.m","Phase 4/4B datasets","Build leakage-controlled Phase 4B tables.","1","1","used_by_main","Directly referenced by main.m."
"src\dataset\prepare_phase9a_action_value_datasets.m","Phase 9 action-value ML","Build leakage-controlled datasets.","1","1","used_by_main","Directly referenced by main.m."
"src\dataset\summarize_cod_dataset_balance.m","Phase 6 COD","Count COD labels.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\summarize_phase7_temporal_dataset.m","Phase 7 TP/QP","Aggregate temporal KPIs by scenario.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\dataset\summarize_phase9a_action_datasets.m","Phase 9 action-value ML","Per-module row/reward statistics.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\kpi\compute_jain_fairness.m","Phase 2 traffic/KPI","Compute Jain's fairness index.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\kpi\compute_network_kpis.m","Phase 2 traffic/KPI","Compute one-row Phase 2 network KPI summary.","1","1","used_by_main","Directly referenced by main.m."
"src\kpi\compute_sector_kpis.m","Phase 2 traffic/KPI","Compute Phase 2 traffic-aware KPIs per LTE sector.","1","1","used_by_main","Directly referenced by main.m."
"src\ml\create_action_value_split.m","Phase 9 action-value ML","Stratified (scenario, realization) group split.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\create_walk_forward_split.m","Phase 7 TP/QP","Split each scenario-sector sequence by time.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\evaluate_action_value_regressor.m","Phase 9 action-value ML","Predict and score one split.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\evaluate_clustering_k_range.m","Phase 5 clustering","Run k-means diagnostics for candidate k values.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\evaluate_cod_classifier.m","Phase 6 COD","Evaluate COD classifier and compute required metrics.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\evaluate_regression_model.m","support","Predict and compute regression metrics.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\evaluate_safety_enforced_selection.m","Phase 10 safety-enforced ML","Attach oracle reference and regret.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\run_phase10a_safety_enforced_selection.m","Phase 10 safety-enforced ML","Offline ML + safety filter wrapper.","1","1","used_by_main","Directly referenced by main.m."
"src\ml\run_phase5_clustering_state_monitor.m","Phase 5 clustering","Unsupervised sector-state monitoring.","1","1","used_by_main","Directly referenced by main.m."
"src\ml\run_phase6b_cod_training.m","Phase 6 COD","Train and validate COD Random Forest classifier.","1","1","used_by_main","Directly referenced by main.m."
"src\ml\run_phase7b_tp_qp_training.m","Phase 7 TP/QP","Train TP/QP regressors with walk-forward split.","1","1","used_by_main","Directly referenced by main.m."
"src\ml\run_phase7c_tp_qp_diagnostics.m","Phase 7 TP/QP","Compare TP/QP models with baselines.","1","1","used_by_main","Directly referenced by main.m."
"src\ml\run_phase9b_action_value_training.m","Phase 9 action-value ML","Train module-specific reward regressors.","1","1","used_by_main","Directly referenced by main.m."
"src\ml\select_best_predicted_actions.m","support","Offline action ranking preview vs oracle.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\select_clustering_features.m","Phase 5 clustering","Explicit Phase 5 clustering input list.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\select_safety_enforced_ml_actions.m","Phase 10 safety-enforced ML","Pick raw top-1 and safety-enforced top-1.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\standardize_clustering_features.m","Phase 5 clustering","Z-score normalize selected clustering features.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\summarize_cluster_states.m","Phase 5 clustering","Build interpretation tables for Phase 5 clusters.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\summarize_phase10a_selection.m","Phase 10 safety-enforced ML","Module, scenario, and filter summaries.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\train_action_value_regressor.m","Phase 9 action-value ML","LSBoost ensemble for reward regression.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\train_cod_random_forest.m","Phase 6 COD","Train Phase 6B COD Random Forest classifier.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ml\train_regression_model.m","support","Train an ensemble regression model for TP/QP.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_action_value_actual_vs_predicted.m","plotting/artifacts","Scatter plot per module (test split).","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_action_value_error_by_module.m","plotting/artifacts","Boxplot of |error| by module (test split).","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_action_value_oracle_regret_preview.m","plotting/artifacts","Per-module regret distribution.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_best_rsrp_map.m","plotting/artifacts","Plot best-sector RSRP over square study area.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_best_server_map.m","plotting/artifacts","Plot best serving sector over the study window.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_best_sinr_map.m","plotting/artifacts","Plot best-sector full-band SINR over square study area.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_cod_confusion_matrix.m","plotting/artifacts","Plot COD confusion matrix.","0","1","used_indirectly","Referenced by another MATLAB file."
