"file_path","phase","purpose","called_by_main","called_by_other_file","status","notes"
"src\plot\plot_cod_feature_importance.m","plotting/artifacts","Plot Random Forest COD feature importance.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_cod_label_distribution.m","plotting/artifacts","Plot Phase 6A COD class balance.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase10a_regret_by_module.m","plotting/artifacts","Box chart of raw vs safety-enforced regret.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase10a_safe_vs_raw_selection.m","plotting/artifacts","Bar chart of raw-unsafe vs safe-residual-unsafe per module.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase10a_selection_outcomes.m","plotting/artifacts","Stacked outcome composition per module.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase11a_accepted_rejected_actions.m","plotting/artifacts","plot phase11a accepted rejected actions","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase11a_conflict_counts.m","plotting/artifacts","plot phase11a conflict counts","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase11a_module_priority_outcomes.m","plotting/artifacts","plot phase11a module priority outcomes","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase11b_executable_actions_by_module.m","plotting/artifacts","plot phase11b executable actions by module","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase11b_final_decision_status.m","plotting/artifacts","plot phase11b final decision status","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase11b_unresolved_fallbacks_by_scenario.m","plotting/artifacts","plot phase11b unresolved fallbacks by scenario","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12d_kpi_update_outcomes.m","plotting/artifacts","Categorize per-action outcome by sign of delta_qos.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12d_load_change_by_scenario.m","plotting/artifacts","plot phase12d load change by scenario","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12d_pre_post_kpi_by_module.m","plotting/artifacts","plot phase12d pre post kpi by module","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12d_rsrp_sinr_change.m","plotting/artifacts","plot phase12d rsrp sinr change","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12e_baseline_ai_oracle_kpis.m","plotting/artifacts","plot phase12e baseline ai oracle kpis","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12e_final_outcome_counts.m","plotting/artifacts","plot phase12e final outcome counts","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12e_kpi_delta_by_scenario.m","plotting/artifacts","plot phase12e kpi delta by scenario","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12e_oracle_gap_by_module.m","plotting/artifacts","plot phase12e oracle gap by module","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase12e_tradeoff_attach_vs_qos.m","plotting/artifacts","plot phase12e tradeoff attach vs qos","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase3_scenario_summary.m","plotting/artifacts","Plot key KPIs across Phase 3 scenarios.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_phase4_dataset_summary.m","plotting/artifacts","Plot aggregate Phase 4 dataset KPIs by scenario.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_phase5_cluster_pca.m","plotting/artifacts","Plot first two principal components by cluster.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase5_cluster_profiles.m","plotting/artifacts","Plot major KPI means by cluster.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase5_cluster_scenario_heatmap.m","plotting/artifacts","Plot row-normalized scenario fractions.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase7_temporal_summary.m","plotting/artifacts","Plot offered traffic and QoS timelines.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase7c_model_vs_baseline.m","plotting/artifacts","Plot overall test RMSE by model/baseline.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase7c_qp_target_variance.m","plotting/artifacts","Plot QP target standard deviation.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_phase8a_candidate_action_counts.m","plotting/artifacts","Plot candidate counts by module.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_qos_satisfaction_map.m","plotting/artifacts","Plot QoS-satisfied, QoS-failed, and unattached UEs.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_regression_actual_vs_predicted.m","plotting/artifacts","Scatter actual vs predicted values.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_regression_error_by_scenario.m","plotting/artifacts","Plot absolute error by scenario.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\plot\plot_sector_load.m","plotting/artifacts","Plot number of attached UEs per sector.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_sector_load_map.m","plotting/artifacts","Plot Phase 2 sector traffic load over the topology.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_single_site_geometry.m","plotting/artifacts","Plot site, sector azimuths, planned radius, and UE attach status.","0","0","legacy_or_unused","Single-site legacy/support path; not used by current 7-site main workflow."
"src\plot\plot_traffic_calibration_summary.m","plotting/artifacts","Plot traffic-mode sensitivity KPIs.","1","1","used_by_main","Directly referenced by main.m."
"src\plot\plot_ue_throughput_map.m","plotting/artifacts","Plot served UE throughput after Phase 2 allocation.","1","1","used_by_main","Directly referenced by main.m."
"src\reporting\build_final_figure_manifest.m","Phase 13 reporting","Map thesis figures to file paths and presence.","0","1","scope_conflict_phase13_present","Phase 13 is present even though this audit was requested before Phase 13."
"src\reporting\build_final_limitations_table.m","Phase 13 reporting","Honest limitation statements for the thesis package.","0","1","scope_conflict_phase13_present","Phase 13 is present even though this audit was requested before Phase 13."
"src\reporting\build_final_result_narrative.m","Phase 13 reporting","Write the thesis-ready markdown files.","0","1","scope_conflict_phase13_present","Phase 13 is present even though this audit was requested before Phase 13."
"src\reporting\build_final_thesis_summary_tables.m","Phase 13 reporting","Assemble the Phase 13 result tables.","0","1","scope_conflict_phase13_present","Phase 13 is present even though this audit was requested before Phase 13."
"src\reporting\collect_final_result_tables.m","Phase 13 reporting","Gather upstream summaries needed for Phase 13.","0","1","scope_conflict_phase13_present","Phase 13 is present even though this audit was requested before Phase 13."
"src\reporting\run_phase13_final_result_package.m","Phase 13 reporting","Assemble thesis-ready outputs only.","1","1","scope_conflict_phase13_present","Phase 13 is present even though this audit was requested before Phase 13."
"src\reporting\summarize_phase13_package.m","Phase 13 reporting","Return counts for the thesis-package contents.","0","1","scope_conflict_phase13_present","Phase 13 is present even though this audit was requested before Phase 13."
"src\rf\calc_3gpp_uma_pathloss.m","Phase 1B RF/topology","3GPP UMa-style path loss for macrocell simulation.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\rf\calc_antenna_gain.m","Phase 1B RF/topology","Simplified 3D sector antenna pattern.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\rf\calc_rsrp_sinr.m","Phase 1B RF/topology","Compute RSRP, full-band SINR, association, and attach status.","1","1","used_by_main","Directly referenced by main.m."
"src\rf\compute_best_server_map.m","Phase 1B RF/topology","Compute deterministic grid RF maps for the topology.","1","1","used_by_main","Directly referenced by main.m."
"src\rf\estimate_coverage_radius.m","Phase 1B RF/topology","Estimate cell-edge radius using MAPL and 3GPP UMa path loss.","1","1","used_by_main","Directly referenced by main.m."
"src\scenarios\apply_scenario_to_network.m","Phase 3 scenarios","Apply traffic mode and sector impairment settings.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\scenarios\generate_scenario_config.m","Phase 3 scenarios","Define deterministic Phase 3 LTE scenarios.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\scenarios\run_phase3_scenarios.m","Phase 3 scenarios","Run synthetic LTE scenarios over one common topology.","1","1","used_by_main","Directly referenced by main.m."
"src\scenarios\summarize_scenario_results.m","Phase 3 scenarios","Select key Phase 3 columns for console display.","0","0","appears_unused",""
"src\topology\create_7site21sector_topology.m","Phase 1B RF/topology","Build a 7-site / 21-sector LTE macro topology.","1","1","used_by_main","Directly referenced by main.m."
"src\topology\create_single_site3sector_topology.m","Phase 1B RF/topology","Build one macro LTE site with three sectors.","0","0","legacy_or_unused","Single-site legacy/support path; not used by current 7-site main workflow."
"src\topology\plot_topology.m","Phase 1B RF/topology","Plot LTE sites, sectors, planned coverage, and UE attachment.","1","1","used_by_main","Directly referenced by main.m."
"src\traffic\allocate_sector_throughput.m","Phase 2 traffic/KPI","Allocate simplified sector throughput to RF-attached UEs.","1","1","used_by_main","Directly referenced by main.m."
"src\traffic\assign_ue_traffic_demand.m","Phase 2 traffic/KPI","Assign reproducible traffic demand to each UE.","1","1","used_by_main","Directly referenced by main.m."
"src\ue\generate_handover_stress_ues.m","Phase 1B RF/topology","Bias UE locations toward sector-boundary regions.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\ue\generate_ues.m","Phase 1B RF/topology","Generate UE coordinates for LTE RF validation.","1","1","used_by_main","Directly referenced by main.m."
"src\utils\append_phase_timing.m","utilities","Append one row to the run timing log and save it.","1","1","used_by_main","Directly referenced by main.m."
"src\utils\configure_run_mode.m","utilities","Apply reproducible run-mode settings.","1","1","used_by_main","Directly referenced by main.m."
"src\utils\ensure_folder.m","utilities","Create folder if it does not exist.","1","1","used_by_main","Directly referenced by main.m."
"src\utils\save_figure.m","utilities","Save figure robustly across MATLAB versions.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\utils\write_run_dependency_summary.m","utilities","Save active input/output artifact timestamps.","1","1","used_by_main","Directly referenced by main.m."
"src\validation\classify_phase12e_kpi_outcomes.m","Phase 12E validation","Per-row outcome class + tradeoff flag.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\compare_baseline_ai_oracle_kpis.m","support","Merge baseline-vs-AI with oracle log and compute gaps.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\evaluate_comparable_oracle_actions.m","support","Run cloned-state KPI for oracle actions when implementable.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\run_phase12e_one_step_result_validation.m","Phase 12E validation","Phase 12D validation + baseline/AI/oracle comparison.","1","1","used_by_main","Directly referenced by main.m."
"src\validation\run_traffic_calibration.m","Phase 2 validation","Evaluate calibrated Phase 2 traffic modes.","1","1","used_by_main","Directly referenced by main.m."
"src\validation\summarize_phase12e_final_comparison.m","Phase 12E validation","Per-module, per-scenario, and tradeoff tallies.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_cod_dataset.m","Phase 6 validation","Validate Phase 6A balanced COD dataset.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_cod_model_results.m","Phase 6 validation","Validate Phase 6B COD model outputs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase10a_safety_enforced_selection.m","Phase 10 validation","Phase 10A integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase11a_coordination_preparation.m","Phase 11 validation","Phase 11A integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase11b_final_coordinator_selection.m","Phase 11 validation","Final coordinator integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase12a_action_application_feasibility.m","Phase 12A validation","Phase 12A integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase12b_action_state_extension.m","Phase 12B validation","Phase 12B integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase12c_kpi_eligible_actions.m","Phase 12C validation","Phase 12C integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase12d_one_step_kpi_update.m","Phase 12D validation","Phase 12D integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase12e_final_comparison.m","Phase 12E validation","Phase 12E integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase13_final_result_package.m","support","Phase 13 final-package integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase3_scenarios.m","Phase 3 validation","Check whether Phase 3 scenarios are distinct.","1","1","used_by_main","Directly referenced by main.m."
"src\validation\validate_phase4_dataset.m","Phase 4 validation","Basic integrity checks for Phase 4 KPI datasets.","1","1","used_by_main","Directly referenced by main.m."
"src\validation\validate_phase4_ml_features.m","Phase 4 validation","Validate Phase 4B leakage-controlled tables.","1","1","used_by_main","Directly referenced by main.m."
"src\validation\validate_phase5_clustering.m","Phase 5 validation","Validate leakage and clustering sanity.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase7_temporal_dataset.m","Phase 7 validation","Validate temporal TP/QP dataset integrity.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase7b_tp_qp_results.m","Phase 7 validation","Validate TP/QP regression outputs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase7c_tp_qp_diagnostics.m","Phase 7 validation","Validate Phase 7C diagnostic outputs.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase8a_candidate_actions.m","Phase 8 validation","Validate candidate action definitions.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase8b_counterfactuals.m","Phase 8 validation","Phase 8B reward and safety diagnostics.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase8c_oracle.m","Phase 8 validation","Phase 8C oracle correctness checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase9a_action_value_datasets.m","Phase 9 validation","Phase 9A dataset integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\validation\validate_phase9b_action_value_results.m","Phase 9 validation","Phase 9B integrity checks.","0","1","used_indirectly","Referenced by another MATLAB file."
"src\workflow\run_phase4_only_workflow.m","workflow shortcuts","Regenerate only the Phase 4 scenario dataset.","1","1","used_by_main","Directly referenced by main.m."
"src\workflow\run_phase8a_only_workflow.m","workflow shortcuts","Regenerate Phase 8A and optional Phase 8B only.","1","1","used_by_main","Directly referenced by main.m."
"src\workflow\run_reuse_phase4_to_phase8a_workflow.m","workflow shortcuts","Reuse Phase 4 and rebuild downstream Phase 8A/B inputs.","1","1","used_by_main","Directly referenced by main.m."
