coordinator_group_id,conflict_id,winning_module,rejected_module,winning_action_id,rejected_action_id,resolution_rule,resolution_reason,safety_valid_after_resolution
6,2,COC/OH,ES,4501,20678,reject_es_sleep_overlap,ES sleep on a sector also touched by COC/LB/HO-MRO action.,1
16,3,LB/MLB,LB/MLB,9005,9022,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
16,4,LB/MLB,LB/MLB,9005,9105,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
16,5,LB/MLB,LB/MLB,9005,9126,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
16,6,LB/MLB,LB/MLB,9005,9152,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,13,LB/MLB,LB/MLB,9179,9188,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,14,LB/MLB,LB/MLB,9179,9197,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,15,LB/MLB,LB/MLB,9236,9179,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,19,LB/MLB,LB/MLB,9366,9332,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
17,20,LB/MLB,LB/MLB,9314,9305,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,21,LB/MLB,LB/MLB,9529,9425,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,22,LB/MLB,LB/MLB,9425,9534,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,25,LB/MLB,LB/MLB,9529,9547,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,27,LB/MLB,LB/MLB,9438,9456,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
18,28,LB/MLB,LB/MLB,9438,9625,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
19,30,LB/MLB,LB/MLB,10028,9976,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
19,31,LB/MLB,LB/MLB,10068,10102,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
19,32,LB/MLB,LB/MLB,10111,10133,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
21,33,LB/MLB,LB/MLB,10433,10419,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
26,34,HO/MRO,HO/MRO,49917,50095,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
27,35,LB/MLB,LB/MLB,12590,12616,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
27,36,LB/MLB,LB/MLB,12633,12590,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
27,38,LB/MLB,LB/MLB,12537,12580,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
27,39,LB/MLB,LB/MLB,12537,12697,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
29,41,LB/MLB,LB/MLB,14670,14705,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
29,42,LB/MLB,LB/MLB,14747,14664,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
29,43,LB/MLB,LB/MLB,14664,14760,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
29,44,LB/MLB,LB/MLB,14664,14781,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
29,48,LB/MLB,LB/MLB,14833,14812,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
29,49,LB/MLB,LB/MLB,14859,14842,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
30,50,LB/MLB,LB/MLB,15237,15150,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
30,51,LB/MLB,LB/MLB,15150,15249,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
31,53,LB/MLB,LB/MLB,15675,15689,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
32,54,LB/MLB,LB/MLB,15718,15908,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
32,55,LB/MLB,LB/MLB,15774,15800,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
32,56,LB/MLB,LB/MLB,15818,15774,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
32,58,LB/MLB,LB/MLB,15879,15771,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
32,61,LB/MLB,LB/MLB,15879,15926,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
32,62,LB/MLB,LB/MLB,15879,15939,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
33,64,LB/MLB,LB/MLB,16285,16233,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
33,65,LB/MLB,LB/MLB,16312,16322,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
33,66,LB/MLB,LB/MLB,16312,16343,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
33,68,LB/MLB,LB/MLB,16247,16351,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
33,69,LB/MLB,LB/MLB,16295,16277,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
33,71,LB/MLB,LB/MLB,16295,16412,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,72,LB/MLB,LB/MLB,17816,17807,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,74,LB/MLB,LB/MLB,17816,17850,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,75,LB/MLB,LB/MLB,17893,17914,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,76,LB/MLB,LB/MLB,17855,17868,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,77,LB/MLB,LB/MLB,17889,17855,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,79,LB/MLB,LB/MLB,17790,17832,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,80,LB/MLB,LB/MLB,17790,17936,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
36,81,LB/MLB,LB/MLB,17790,17962,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
38,85,HO/MRO,HO/MRO,22683,23217,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
38,86,HO/MRO,HO/MRO,23573,23751,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
38,87,HO/MRO,HO/MRO,24522,24819,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
38,88,HO/MRO,HO/MRO,23039,23395,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
38,89,HO/MRO,HO/MRO,22861,24997,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
38,90,HO/MRO,HO/MRO,22386,24107,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
40,95,HO/MRO,HO/MRO,28557,28913,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
40,96,HO/MRO,HO/MRO,29269,29447,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
40,97,HO/MRO,HO/MRO,28379,29981,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
62,101,HO/MRO,HO/MRO,32223,32532,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
72,102,HO/MRO,HO/MRO,85742,86822,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
72,103,HO/MRO,HO/MRO,86644,86941,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
77,105,HO/MRO,HO/MRO,109903,110615,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
77,106,HO/MRO,HO/MRO,110971,111149,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
77,107,HO/MRO,HO/MRO,111742,111861,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
77,108,HO/MRO,HO/MRO,110259,110793,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
77,109,HO/MRO,HO/MRO,109784,111505,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
78,114,HO/MRO,HO/MRO,115777,116429,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
78,115,HO/MRO,HO/MRO,115065,116548,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
78,116,HO/MRO,HO/MRO,115243,117201,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
78,117,HO/MRO,HO/MRO,115599,117735,priority_or_predicted_reward_wins_duplicate_application_target,Both actions write the same simulator state variable on the same application sector.,1
